ogc_fid,gengwh,plant_type,lat,lon,ESTADO,ClaveGeo
17,1.21783,biomass,21.07621,-101.73267,Guanajuato,11
155,2532.96768,hydropower,17.1806,-93.59734,Chiapas,07
177,50.53555,hydropower,19.35707,-102.07062,Michoacán,16
1,3.82494,biomass,20.59591,-100.47164,Queretaro,22
2,6.918,biomass,20.50548,-103.25964,Jalisco,14
3,2.92336,biomass,17.45594,-91.41998,Tabasco,27
4,32.24,biomass,19.52842,-103.43628,Jalisco,14
5,87.759,biomass,25.85201,-100.29565,Nuevo León,19
6,28.01,biomass,18.60632,-96.68578,Veracruz,30
7,20.94,biomass,18.64174,-96.72683,Veracruz,30
8,23.874,biomass,16.27674,-92.45412,Chiapas,07
9,17.287,biomass,25.78544,-109.00176,Sinaloa,25
10,18.154,biomass,22.93902,-99.01705,Tamaulipas,28
11,0.528,biomass,19.60616,-96.89934,Veracruz,30
12,12.8104,biomass,18.16073,-95.18661,Veracruz,30
13,33.419,biomass,18.60959,-95.52853,Veracruz,30
14,6.768,biomass,19.5647,-99.04439,México,15
15,0.263,biomass,21.81851,-102.76808,Aguascalientes,01
16,7.17,biomass,18.9114,-96.77862,Veracruz,30
18,0,biomass,19.23293,-97.79887,Puebla,21
19,1.901,biomass,23.88519,-104.51617,Durango,10
20,0,biomass,28.21529,-105.39176,Chihuahua,08
21,0,biomass,18.80238,-98.92169,Morelos,17
22,0.374,biomass,19.58793,-99.28143,México,15
23,14.27,biomass,19.42869,-96.4005,Veracruz,30
24,27.36786,biomass,15.09205,-92.49569,Chiapas,07
25,2.939,biomass,25.53261,-100.95781,Coahuila,05
26,56.67649,biomass,18.3717,-95.74096,Veracruz,30
27,31.16,biomass,18.04852,-96.15651,Oaxaca,20
28,20.34,biomass,21.92091,-99.3924,San Luis Potosí,24
29,19.0811,biomass,18.50562,-98.61072,Puebla,21
30,4.92078,biomass,18.84993,-98.96326,Morelos,17
31,5.623,biomass,19.45492,-96.95856,Veracruz,30
32,6.06,biomass,18.87294,-97.02431,Veracruz,30
33,5.381,biomass,24.31964,-107.3684,Sinaloa,25
34,38.361,biomass,21.77334,-98.45555,Veracruz,30
35,9.253,biomass,22.7266,-98.98004,Tamaulipas,28
36,11.76655,biomass,19.37716,-96.37035,Veracruz,30
37,16.704,biomass,21.50134,-104.88749,Nayarit,18
38,20.01977,biomass,18.89574,-96.79237,Veracruz,30
39,0.289,biomass,18.58657,-96.65832,Oaxaca,20
40,19.37,biomass,18.65359,-99.19002,Morelos,17
41,0.9,biomass,20.66835,-103.7194,Jalisco,14
42,43.428,biomass,19.42862,-96.40057,Veracruz,30
43,27.909,biomass,18.50873,-96.54115,Oaxaca,20
44,9.415,biomass,18.75057,-96.77147,Veracruz,30
45,9.953,biomass,19.32984,-101.91386,Michoacán,16
46,0,biomass,19.32984,-101.91386,Michoacán,16
47,27.20226,biomass,19.784,-104.2378,Jalisco,14
48,13.319,biomass,18.6372,-95.51887,Veracruz,30
49,29.724,biomass,22.0174,-98.18439,Veracruz,30
50,20.057,biomass,22.01445,-99.04693,San Luis Potosí,24
51,24.349,biomass,22.21669,-99.23327,San Luis Potosí,24
52,23.091,biomass,18.00595,-93.58689,Tabasco,27
53,23.80384,biomass,19.38946,-103.57184,Colima,06
54,14.249,biomass,20.54422,-104.0531,Jalisco,14
55,0,biomass,20.54407,-104.05208,Jalisco,14
56,13.891,biomass,18.77406,-96.77772,Veracruz,30
57,102.35502,biomass,22.53222,-99.33537,San Luis Potosí,24
58,6.63207,biomass,18.86218,-96.91551,Veracruz,30
59,42.071,biomass,17.94607,-94.28275,Veracruz,30
60,39.86843,biomass,18.27642,-88.68411,Quintana Roo,23
61,12.995,biomass,19.63855,-102.49346,Michoacán,16
62,50.3,biomass,19.684,-103.24469,Jalisco,14
63,0,biomass,18.26483,-96.16243,Veracruz,30
64,0,biomass,18.86116,-97.06632,Veracruz,30
65,6.9,biomass,25.45616,-101.05359,Coahuila,05
66,156.99,biomass,18.25825,-96.15459,Veracruz,30
67,0,biomass,25.79941,-100.29052,Nuevo León,19
68,0,biomass,20.77623,-103.33583,Jalisco,14
69,20.058,biomass,18.08987,-93.35618,Tabasco,27
70,0.385,biomass,25.73778,-100.06931,Nuevo León,19
71,9.047,biomass,21.9661,-102.2129,Aguascalientes,01
72,104.723,biomass,20.66835,-103.7194,Jalisco,14
73,1.983,biomass,22.01735,-98.18418,Veracruz,30
74,3.89801,biomass,20.67797,-100.48855,Queretaro,22
75,25.512,biomass,31.55535,-106.48597,Chihuahua,08
76,93.504,wind,16.48423,-94.99452,Oaxaca,20
77,440.179,wind,16.61227,-94.81051,Oaxaca,20
78,385.121,wind,16.58718,-94.79446,Oaxaca,20
79,286.549,wind,16.58134,-94.74794,Oaxaca,20
80,0,wind,27.97617,-114.06717,Baja California Sur,03
81,177.39455,wind,16.60175,-94.83492,Oaxaca,20
82,2.43523,wind,20.97608,-86.86212,Quintana Roo,23
83,167.946,wind,25.97009,-98.32858,Tamaulipas,28
84,284.09,wind,16.4978,-94.80989,Oaxaca,20
85,456.22,wind,16.54605,-94.82845,Oaxaca,20
86,482.929,wind,23.32994,-101.26816,San Luis Potosí,24
87,188.908,wind,16.53719,-94.99158,Oaxaca,20
88,362.688,wind,32.59718,-116.0787,Baja California,02
89,4.365,wind,31.3433,-113.56678,Sonora,26
90,316.8,wind,16.56428,-94.72119,Oaxaca,20
91,106.404,wind,16.61128,-95.00456,Oaxaca,20
92,273.85,wind,16.58411,-94.73393,Oaxaca,20
93,565.018,wind,16.44061,-94.99118,Oaxaca,20
94,652.635,wind,16.5287,-94.79011,Oaxaca,20
95,80.465,wind,16.18498,-93.93963,Chiapas,07
96,146.63,wind,16.53699,-94.96135,Oaxaca,20
97,210.14661,wind,16.53078,-94.96096,Oaxaca,20
98,173.853,wind,21.85377,-101.59942,Jalisco,14
99,39.081,wind,25.68306,-100.64056,Nuevo León,19
100,247.388,wind,16.44482,-95.05877,Oaxaca,20
101,856.617,wind,16.54753,-94.83047,Oaxaca,20
102,153.458,wind,16.58635,-95.00161,Oaxaca,20
103,752.462,wind,16.41153,-94.95541,Oaxaca,20
104,0.1,wind,16.54558,-94.96335,Oaxaca,20
105,24.24428,wind,32.49776,-116.08983,Baja California,02
106,211.45,wind,16.5283,-94.93262,Oaxaca,20
107,121.256,wind,16.57727,-94.82351,Oaxaca,20
108,107.97,wind,18.8156,-97.56279,Puebla,21
109,264.656,wind,16.49601,-94.99997,Oaxaca,20
110,246.418,wind,25.89221,-98.78667,Nuevo León,19
111,262.116,wind,25.89221,-98.78667,Nuevo León,19
112,3739.3,geothermal,32.39848,-115.23793,Baja California,02
113,10.37,solar,32.418,-115.237,Baja California,02
114,478.34317,geothermal,19.64647,-97.43751,Puebla,21
115,1806.71985,geothermal,19.79102,-100.66687,Michoacán,16
116,53.69629,geothermal,27.50612,-112.56058,Baja California Sur,03
117,95.424,geothermal,21.18507,-104.72012,Nayarit,18
118,356.16174,hydropower,26.50433,-108.58075,Sinaloa,25
119,1915.51146,hydropower,21.84348,-104.80403,Nayarit,18
120,0.51505,hydropower,17.11674,-99.56416,Guerrero,12
121,1392.07214,hydropower,17.44634,-93.46275,Chiapas,07
122,244.44118,hydropower,25.85372,-107.90211,Sinaloa,25
123,2.39788,hydropower,19.19053,-101.43963,Michoacán,16
124,2136.51229,hydropower,16.40177,-92.77842,Chiapas,07
125,22.57272,hydropower,16.95695,-93.02555,Chiapas,07
126,68.88931,hydropower,19.97929,-101.73607,Michoacán,16
127,79.19431,hydropower,22.58813,-99.38101,San Luis Potosí,24
128,1209.04028,hydropower,17.95055,-99.99426,Guerrero,12
129,105.27045,hydropower,18.41952,-95.15375,Veracruz,30
130,84.57278,hydropower,20.6961,-103.2259,Jalisco,14
131,9.0193,hydropower,27.57628,-105.38201,Chihuahua,08
132,32.80413,hydropower,17.4093,-99.16185,Guerrero,12
133,476.87264,hydropower,19.342,-102.07993,Michoacán,16
134,257.82447,hydropower,19.16599,-102.01164,Michoacán,16
135,2619.35551,hydropower,18.28063,-101.90105,Michoacán,16
136,10.11304,hydropower,22.09996,-99.15242,San Luis Potosí,24
137,4.18125,hydropower,19.97789,-97.17673,Veracruz,30
138,52.28304,hydropower,26.55837,-99.1694,Tamaulipas,28
139,285.497,hydropower,20.90877,-103.7059,Jalisco,14
140,69.92641,hydropower,24.81626,-107.15131,Sinaloa,25
141,236.05682,hydropower,25.09714,-107.39131,Sinaloa,25
142,2117.44901,hydropower,20.66331,-99.50077,Hidalgo,13
143,2.523,hydropower,19.58037,-102.43015,Michoacán,16
144,12.84779,hydropower,18.84443,-97.06115,Veracruz,30
145,89.58579,hydropower,15.02395,-92.22672,Chiapas,07
146,12.30131,hydropower,21.6496,-105.03215,Nayarit,18
147,49.33009,hydropower,29.44846,-101.06025,Coahuila,05
148,82.35514,hydropower,27.54447,-105.41405,Chihuahua,08
149,1219.31647,hydropower,18.04568,-102.18254,Michoacán,16
150,924.99351,hydropower,21.19742,-104.10618,Jalisco,14
151,85.44125,hydropower,19.68537,-97.15452,Veracruz,30
152,1090.31,hydropower,21.42904,-104.45406,Nayarit,18
153,1080.44864,hydropower,26.84582,-108.37046,Sinaloa,25
154,12.74818,hydropower,20.70437,-103.26471,Jalisco,14
156,4695.57941,hydropower,16.93927,-93.10143,Chiapas,07
157,364.51829,hydropower,20.0144,-97.40623,Puebla,21
158,2.8522,hydropower,22.10356,-99.15648,San Luis Potosí,24
159,48.43661,hydropower,27.22513,-109.10677,Sonora,26
160,118.00425,hydropower,27.82503,-109.89474,Sonora,26
161,41.5011,hydropower,19.92375,-102.25361,Michoacán,16
162,12.26319,hydropower,18.92605,-98.34305,Puebla,21
163,5.28416,hydropower,18.91945,-98.37287,Puebla,21
164,497.54308,hydropower,28.97802,-109.64201,Sonora,26
165,265.60951,hydropower,24.56886,-106.80948,Sinaloa,25
166,33.944,hydropower,20.56972,-103.14695,Jalisco,14
167,4.44593,hydropower,19.41403,-101.24872,Michoacán,16
168,31.11519,hydropower,19.17395,-100.28927,México,15
169,7.52681,hydropower,16.31448,-92.42611,Chiapas,07
170,7.37066,hydropower,17.69278,-97.61968,Oaxaca,20
171,1259.76731,hydropower,18.23208,-96.40841,Oaxaca,20
172,11.2975,hydropower,19.40234,-96.99362,Veracruz,30
173,47.6299,hydropower,19.08142,-100.40614,México,15
174,2.66112,hydropower,19.53015,-101.2531,Michoacán,16
175,98.98211,hydropower,18.83709,-97.03387,Veracruz,30
176,238.86729,hydropower,20.78473,-103.32473,Jalisco,14
178,14.622,hydropower,18.8715,-97.12559,Veracruz,30
179,233.248,hydropower,19.95796,-97.44528,Puebla,21
180,4.42,hydropower,20.20477,-100.8865,Guanajuato,11
181,36.11,hydropower,24.46327,-105.97501,Durango,10
182,100.64,hydropower,18.59338,-97.0313,Veracruz,30
183,1.482,hydropower,19.22198,-98.50943,Puebla,21
184,17.141,hydropower,19.09146,-102.08268,Michoacán,16
185,0,hydropower,21.2765,-104.3075,Nayarit,18
186,122.4753,hydropower,19.98175,-100.25207,Michoacán,16
187,0,hydropower,19.98175,-100.25207,Michoacán,16
188,114.40811,hydropower,20.21687,-97.98732,Puebla,21
189,0,hydropower,20.21687,-97.98732,Puebla,21
190,0,hydropower,20.21687,-97.98732,Puebla,21
191,0,hydropower,20.21687,-97.98732,Puebla,21
192,0,hydropower,20.21687,-97.98732,Puebla,21
193,0,hydropower,20.21687,-97.98732,Puebla,21
194,0,hydropower,20.21687,-97.98732,Puebla,21
195,0,hydropower,20.21687,-97.98732,Puebla,21
196,0,hydropower,20.21687,-97.98732,Puebla,21
197,8.628,hydropower,20.21687,-97.98732,Puebla,21
198,51.85753,hydropower,20.23798,-97.89212,Puebla,21
199,0,hydropower,20.23798,-97.89212,Puebla,21
200,0,hydropower,20.23798,-97.89212,Puebla,21
201,41.40229,hydropower,20.20912,-97.94773,Puebla,21
202,0,hydropower,20.20912,-97.94773,Puebla,21
203,0,hydropower,20.20912,-97.94773,Puebla,21
204,33.524,hydropower,20.561,-104.87183,Jalisco,14
205,6.511,hydropower,20.01714,-105.22159,Jalisco,14
206,32.504,hydropower,18.97249,-103.39314,Jalisco,14
207,8.72,hydropower,18.84554,-97.06839,Veracruz,30
208,19.236,hydropower,18.84211,-97.07097,Veracruz,30
209,1.396,hydropower,19.68128,-103.24063,Jalisco,14
210,137.412,hydropower,18.70513,-100.67732,Guerrero,12
211,5.558,hydropower,18.83427,-97.10305,Veracruz,30
212,48.718,hydropower,18.84462,-97.06118,Veracruz,30
213,59.025,hydropower,19.29097,-102.77375,Jalisco,14
214,3.16,solar,21.79766,-102.28961,Aguascalientes,01
215,2.16243,solar,27.41071,-112.5292,Baja California Sur,03
216,0.66,solar,28.84076,-111.47633,Sonora,26
217,0,solar,20.54705,-100.7351,Guanajuato,11
218,29.545,solar,19.63235,-99.77403,México,15
219,0.756,solar,19.57967,-99.76441,México,15
220,1.66,solar,32.54669,-116.91419,Baja California,02
221,18.09,solar,24.03531,-110.33509,Baja California Sur,03
222,24.345,solar,24.16251,-104.57766,Durango,10
223,4.952,solar,24.16251,-104.57766,Durango,10
224,4.932,solar,24.16251,-104.57766,Durango,10
225,3.153,solar,24.16251,-104.57766,Durango,10
226,15.611,solar,24.16251,-104.57766,Durango,10
